2026-08-31 21:06:15,442 [     12]   INFO - #c.i.p.i.b.AppStarter - ------------------------------------------------------ IDE STARTED ------------------------------------------------------
2026-08-31 21:06:15,447 [     17]   INFO - #c.i.p.i.b.AppStarter - skipping shell environment: the IDE is likely launched from a terminal (SHLVL=2)
2026-08-31 21:06:15,448 [     18]   INFO - #c.i.p.i.b.AppStarter - Will skip the config import to directory "/Users/ali/develop/agent_tool/.intellijPlatform/sandbox/quick-command-runner/IU-2026.1/config" (exists = true). Current entries: "options", "disabled_plugins.txt".
2026-08-31 21:06:15,476 [     46]   INFO - #c.i.p.i.b.AppStarter - JNA library (64-bit) loaded in 30 ms
2026-08-31 21:06:15,482 [     52]   INFO - #c.i.p.i.b.AppStarter - IDE: IntelliJ IDEA (build #IU-261.22158.277, Wed, 25 Mar 2026 05:01:00 GMT)
2026-08-31 21:06:15,482 [     52]   INFO - #c.i.p.i.b.AppStarter - OS: macOS (15.4.1)
2026-08-31 21:06:15,482 [     52]   INFO - #c.i.p.i.b.AppStarter - JRE: 25.0.2+10-b329.72, x86_64 (JetBrains s.r.o.)
2026-08-31 21:06:15,482 [     52]   INFO - #c.i.p.i.b.AppStarter - JVM: 25.0.2+10-b329.72 (OpenJDK 64-Bit Server VM)
2026-08-31 21:06:15,482 [     52]   INFO - #c.i.p.i.b.AppStarter - PID: 92774
2026-08-31 21:06:15,503 [     73]   INFO - #c.i.p.i.b.AppStarter - JVM options: [-Daether.connector.resumeDownloads=false, -Dapple.awt.application.appearance=system, -Dcompose.swing.render.on.graphics=true, -Dide.native.launcher=false, -Didea.config.path=/Users/ali/develop/agent_tool/.intellijPlatform/sandbox/quick-command-runner/IU-2026.1/config, -Didea.l10n.keys=only, -Didea.log.path=/Users/ali/develop/agent_tool/.intellijPlatform/sandbox/quick-command-runner/IU-2026.1/log, -Didea.paths.selector=IntelliJIdea2026.1, -Didea.plugins.path=/Users/ali/develop/agent_tool/.intellijPlatform/sandbox/quick-command-runner/IU-2026.1/plugins, -Didea.required.plugins.id=com.quickcommand.runner, -Didea.reset.classpath.from.manifest=true, -Didea.system.path=/Users/ali/develop/agent_tool/.intellijPlatform/sandbox/quick-command-runner/IU-2026.1/system, -Didea.vendor.name=JetBrains, -Dintellij.platform.runtime.repository.path=/Applications/IntelliJ IDEA.app/Contents/modules/module-descriptors.dat, -Dio.netty.allocator.type=pooled, -Djava.nio.file.spi.DefaultFileSystemProvider=com.intellij.platform.core.nio.fs.MultiRoutingFileSystemProvider, -Djava.system.class.loader=com.intellij.util.lang.PathClassLoader, -Djava.util.zip.use.nio.for.zip.file.access=true, -Djbr.catch.SIGABRT=true, -Djdk.attach.allowAttachSelf=true, -Djdk.http.auth.tunneling.disabledSchemes="", -Djdk.module.illegalAccess.silent=true, -Djdk.nio.maxCachedBufferSize=2097152, -Djna.boot.library.path=/Applications/IntelliJ IDEA.app/Contents/lib/jna/amd64, -Djna.noclasspath=true, -Djna.nosys=true, -Dplugin.path=/Users/ali/develop/agent_tool/.intellijPlatform/sandbox/quick-command-runner/IU-2026.1/plugins/quick-command-runner, -Dpty4j.preferred.native.folder=/Applications/IntelliJ IDEA.app/Contents/lib/pty4j, -Dskiko.library.path=/Applications/IntelliJ IDEA.app/Contents/lib/skiko-awt-runtime-all, -Dskiko.rendering.useScreenMenuBar=false, -Dsplash=true, -Dsun.io.useCanonCaches=false, -Dsun.java2d.metal=true, -XX:JbrShrinkingGcMaxHeapFreeRatio=40, -XX:ReservedCodeCacheSize=512m, -XX:+HeapDumpOnOutOfMemoryError, -XX:-OmitStackTraceInFastThrow, -XX:CICompilerCount=2, -XX:+IgnoreUnrecognizedVMOptions, -XX:+UnlockDiagnosticVMOptions, -XX:TieredOldPercentage=100000, -Xbootclasspath/a:/Applications/IntelliJ IDEA.app/Contents/lib/nio-fs.jar, --enable-native-access=ALL-UNNAMED, --add-opens=java.base/java.io=ALL-UNNAMED, --add-opens=java.base/java.lang=ALL-UNNAMED, --add-opens=java.base/java.lang.ref=ALL-UNNAMED, --add-opens=java.base/java.lang.reflect=ALL-UNNAMED, --add-opens=java.base/java.net=ALL-UNNAMED, --add-opens=java.base/java.nio=ALL-UNNAMED, --add-opens=java.base/java.nio.charset=ALL-UNNAMED, --add-opens=java.base/java.text=ALL-UNNAMED, --add-opens=java.base/java.time=ALL-UNNAMED, --add-opens=java.base/java.util=ALL-UNNAMED, --add-opens=java.base/java.util.concurrent=ALL-UNNAMED, --add-opens=java.base/java.util.concurrent.atomic=ALL-UNNAMED, --add-opens=java.base/java.util.concurrent.locks=ALL-UNNAMED, --add-opens=java.base/jdk.internal.ref=ALL-UNNAMED, --add-opens=java.base/jdk.internal.vm=ALL-UNNAMED, --add-opens=java.base/sun.net.dns=ALL-UNNAMED, --add-opens=java.base/sun.nio=ALL-UNNAMED, --add-opens=java.base/sun.nio.ch=ALL-UNNAMED, --add-opens=java.base/sun.nio.fs=ALL-UNNAMED, --add-opens=java.base/sun.security.ssl=ALL-UNNAMED, --add-opens=java.base/sun.security.util=ALL-UNNAMED, --add-opens=java.desktop/com.apple.eawt=ALL-UNNAMED, --add-opens=java.desktop/com.apple.eawt.event=ALL-UNNAMED, --add-opens=java.desktop/com.apple.laf=ALL-UNNAMED, --add-opens=java.desktop/com.sun.java.swing=ALL-UNNAMED, --add-opens=java.desktop/java.awt=ALL-UNNAMED, --add-opens=java.desktop/java.awt.dnd.peer=ALL-UNNAMED, --add-opens=java.desktop/java.awt.event=ALL-UNNAMED, --add-opens=java.desktop/java.awt.font=ALL-UNNAMED, --add-opens=java.desktop/java.awt.image=ALL-UNNAMED, --add-opens=java.desktop/java.awt.peer=ALL-UNNAMED, --add-opens=java.desktop/javax.swing=ALL-UNNAMED, --add-opens=java.desktop/javax.swing.plaf.basic=ALL-UNNAMED, --add-opens=java.desktop/javax.swing.text=ALL-UNNAMED, --add-opens=java.desktop/javax.swing.text.html=ALL-UNNAMED, --add-opens=java.desktop/javax.swing.text.html.parser=ALL-UNNAMED, --add-opens=java.desktop/sun.awt=ALL-UNNAMED, --add-opens=java.desktop/sun.awt.datatransfer=ALL-UNNAMED, --add-opens=java.desktop/sun.awt.image=ALL-UNNAMED, --add-opens=java.desktop/sun.font=ALL-UNNAMED, --add-opens=java.desktop/sun.java2d=ALL-UNNAMED, --add-opens=java.desktop/sun.lwawt=ALL-UNNAMED, --add-opens=java.desktop/sun.lwawt.macosx=ALL-UNNAMED, --add-opens=java.desktop/sun.swing=ALL-UNNAMED, --add-opens=java.management/sun.management=ALL-UNNAMED, --add-opens=jdk.attach/sun.tools.attach=ALL-UNNAMED, --add-opens=jdk.compiler/com.sun.tools.javac.api=ALL-UNNAMED, --add-opens=jdk.internal.jvmstat/sun.jvmstat.monitor=ALL-UNNAMED, --add-opens=jdk.jdi/com.sun.tools.jdi=ALL-UNNAMED, -javaagent:/Users/ali/develop/agent_tool/.intellijPlatform/coroutines-javaagent.jar, -Xms128m, -Xmx2048m, -Dfile.encoding=UTF-8, -Duser.country=CN, -Duser.language=zh, -Duser.variant, -ea]
2026-08-31 21:06:15,504 [     74]   INFO - #c.i.p.i.b.AppStarter - args: traverseUI /Users/ali/develop/agent_tool/build/tmp/buildSearchableOptions true
2026-08-31 21:06:15,504 [     74]   INFO - #c.i.p.i.b.AppStarter - library path: /Users/ali/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.
2026-08-31 21:06:15,504 [     74]   INFO - #c.i.p.i.b.AppStarter - boot library path: /Applications/IntelliJ IDEA.app/Contents/jbr/Contents/Home/lib
2026-08-31 21:06:15,505 [     75]   INFO - #c.i.p.i.b.AppStarter - locale=zh_CN_#Hans JNU=UTF-8 file.encoding=UTF-8
    idea.home.path=/Applications/IntelliJ IDEA.app/Contents
    idea.config.path=/Users/ali/develop/agent_tool/.intellijPlatform/sandbox/quick-command-runner/IU-2026.1/config
